Manufacturer,Year,Month,Sales,Total
HERO MOTOCORP LTD,2025,Apr,511687,1686774
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2025,Apr,406102,1686774
TVS MOTOR COMPANY LTD,2025,Apr,309274,1686774
BAJAJ AUTO GROUP,2025,Apr,183069,1686774
SUZUKI MOTORCYCLE INDIA PVT LTD,2025,Apr,91741,1686774
ROYAL-ENFIELD (UNIT OF EICHER LTD),2025,Apr,80090,1686774
INDIA YAMAHA MOTOR PVT LTD,2025,Apr,52289,1686774
OLA ELECTRIC TECHNOLOGIES PVT LTD,2025,Apr,19709,1686774
ATHER ENERGY LTD,2025,Apr,13167,1686774
GREAVES ELECTRIC MOBILITY PVT LTD,2025,Apr,4000,1686774
PIAGGIO VEHICLES PVT LTD,2025,Apr,2563,1686774
CLASSIC LEGENDS PVT LTD,2025,Apr,2391,1686774
Others Including EV,2025,Apr,10692,1686774
HERO MOTOCORP LTD,2025,Mar,435828,1503836
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2025,Mar,356083,1503836
TVS MOTOR COMPANY LTD,2025,Mar,275030,1503836
BAJAJ AUTO GROUP,2025,Mar,171136,1503836
SUZUKI MOTORCYCLE INDIA PVT LTD,2025,Mar,84208,1503836
ROYAL-ENFIELD (UNIT OF EICHER LTD),2025,Mar,75409,1503836
INDIA YAMAHA MOTOR PVT LTD,2025,Mar,48114,1503836
OLA ELECTRIC TECHNOLOGIES PVT LTD,2025,Mar,23435,1503836
ATHER ENERGY LTD,2025,Mar,15467,1503836
GREAVES ELECTRIC MOBILITY PVT LTD,2025,Mar,5642,1503836
PIAGGIO VEHICLES PVT LTD,2025,Mar,2294,1503836
CLASSIC LEGENDS PVT LTD,2025,Mar,2248,1503836
Others Including EV,2025,Mar,8942,1503836
HERO MOTOCORP LTD,2025,Feb,385988,1351714
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2025,Feb,328502,1351714
TVS MOTOR COMPANY LTD,2025,Feb,253499,1351714
BAJAJ AUTO GROUP,2025,Feb,153631,1351714
SUZUKI MOTORCYCLE INDIA PVT LTD,2025,Feb,76673,1351714
ROYAL-ENFIELD (UNIT OF EICHER LTD),2025,Feb,70130,1351714
INDIA YAMAHA MOTOR PVT LTD,2025,Feb,46095,1351714
OLA ELECTRIC TECHNOLOGIES PVT LTD,2025,Feb,8647,1351714
ATHER ENERGY LTD,2025,Feb,11807,1351714
GREAVES ELECTRIC MOBILITY PVT LTD,2025,Feb,3700,1351714
PIAGGIO VEHICLES PVT LTD,2025,Feb,2302,1351714
CLASSIC LEGENDS PVT LTD,2025,Feb,2287,1351714
Others Including EV,2025,Feb,8453,1351714
HERO MOTOCORP LTD,2025,Jan,410774,1524212
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2025,Jan,372982,1524212
TVS MOTOR COMPANY LTD,2025,Jan,287437,1524212
BAJAJ AUTO GROUP,2025,Jan,173754,1524212
SUZUKI MOTORCYCLE INDIA PVT LTD,2025,Jan,88315,1524212
ROYAL-ENFIELD (UNIT OF EICHER LTD),2025,Jan,76574,1524212
INDIA YAMAHA MOTOR PVT LTD,2025,Jan,58110,1524212
OLA ELECTRIC TECHNOLOGIES PVT LTD,2025,Jan,24336,1524212
ATHER ENERGY LTD,2025,Jan,12906,1524212
GREAVES ELECTRIC MOBILITY PVT LTD,2025,Jan,3611,1524212
PIAGGIO VEHICLES PVT LTD,2025,Jan,2769,1524212
CLASSIC LEGENDS PVT LTD,2025,Jan,2753,1524212
Others Including EV,2025,Jan,9891,1524212
HERO MOTOCORP LTD,2024,Dec,328634,1197742
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2024,Dec,316356,1197742
TVS MOTOR COMPANY LTD,2024,Dec,212899,1197742
BAJAJ AUTO GROUP,2024,Dec,139125,1197742
SUZUKI MOTORCYCLE INDIA PVT LTD,2024,Dec,62788,1197742
ROYAL-ENFIELD (UNIT OF EICHER LTD),2024,Dec,54024,1197742
INDIA YAMAHA MOTOR PVT LTD,2024,Dec,41651,1197742
OLA ELECTRIC TECHNOLOGIES PVT LTD,2024,Dec,13771,1197742
ATHER ENERGY LTD,2024,Dec,10431,1197742
GREAVES ELECTRIC MOBILITY PVT LTD,2024,Dec,2794,1197742
PIAGGIO VEHICLES PVT LTD,2024,Dec,2341,1197742
CLASSIC LEGENDS PVT LTD,2024,Dec,2228,1197742
Others Including EV,2024,Dec,10700,1197742
HERO MOTOCORP LTD,2024,Nov,915468,2615953
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2024,Nov,654564,2615953
TVS MOTOR COMPANY LTD,2024,Nov,420990,2615953
BAJAJ AUTO GROUP,2024,Nov,304221,2615953
SUZUKI MOTORCYCLE INDIA PVT LTD,2024,Nov,93530,2615953
ROYAL-ENFIELD (UNIT OF EICHER LTD),2024,Nov,91972,2615953
INDIA YAMAHA MOTOR PVT LTD,2024,Nov,68266,2615953
OLA ELECTRIC TECHNOLOGIES PVT LTD,2024,Nov,29204,2615953
ATHER ENERGY LTD,2024,Nov,12760,2615953
GREAVES ELECTRIC MOBILITY PVT LTD,2024,Nov,4469,2615953
PIAGGIO VEHICLES PVT LTD,2024,Nov,4148,2615953
CLASSIC LEGENDS PVT LTD,2024,Nov,3154,2615953
Others Including EV,2024,Nov,13207,2615953
HERO MOTOCORP LTD,2024,Oct,576532,2065095
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2024,Oct,554249,2065095
TVS MOTOR COMPANY LTD,2024,Oct,351950,2065095
BAJAJ AUTO GROUP,2024,Oct,230254,2065095
SUZUKI MOTORCYCLE INDIA PVT LTD,2024,Oct,106362,2065095
ROYAL-ENFIELD (UNIT OF EICHER LTD),2024,Oct,95113,2065095
INDIA YAMAHA MOTOR PVT LTD,2024,Oct,68153,2065095
OLA ELECTRIC TECHNOLOGIES PVT LTD,2024,Oct,41651,2065095
ATHER ENERGY LTD,2024,Oct,15993,2065095
GREAVES ELECTRIC MOBILITY PVT LTD,2024,Oct,4180,2065095
PIAGGIO VEHICLES PVT LTD,2024,Oct,3981,2065095
CLASSIC LEGENDS PVT LTD,2024,Oct,3241,2065095
Others Including EV,2024,Oct,13436,2065095
HERO MOTOCORP LTD,2024,Sep,271390,1203022
HONDA MOTORCYCLE AND SCOOTER INDIA (P) LTD,2024,Sep,333927,1203022
TVS MOTOR COMPANY LTD,2024,Sep,221257,1203022
BAJAJ AUTO GROUP,2024,Sep,141668,1203022
SUZUKI MOTORCYCLE INDIA PVT LTD,2024,Sep,74287,1203022
ROYAL-ENFIELD (UNIT OF EICHER LTD),2024,Sep,57504,1203022
INDIA YAMAHA MOTOR PVT LTD,2024,Sep,50065,1203022
OLA ELECTRIC TECHNOLOGIES PVT LTD,2024,Sep,24679,1203022
ATHER ENERGY LTD,2024,Sep,12718,1203022
GREAVES ELECTRIC MOBILITY PVT LTD,2024,Sep,2777,1203022
PIAGGIO VEHICLES PVT LTD,2024,Sep,2562,1203022
CLASSIC LEGENDS PVT LTD,2024,Sep,2125,1203022
